,column,class1,class2,stat,p_value
39,hcop_ii/hn13c_ii,C,H,0.28498727735368956,0.1236946264413044
40,hcop_ii/hn13c_ii,C,P,0.3418803418803419,0.08731495930754518
41,hcop_ii/hn13c_ii,C,U,0.45,0.004787960801148295
42,hcop_ii/hn13c_ii,H,P,0.17009199451947543,0.3069417401050248
43,hcop_ii/hn13c_ii,H,U,0.19758269720101782,0.06795748321485894
44,hcop_ii/hn13c_ii,P,U,0.2064102564102564,0.226971303756132
45,hcop_ii/13cs_ii,Q,A,0.42045454545454547,0.0603165085232358
46,hcop_ii/13cs_ii,Q,C,0.5454545454545454,0.15562378797672918
47,hcop_ii/13cs_ii,Q,H,0.4150197628458498,0.05450234356280015
48,hcop_ii/13cs_ii,Q,P,0.30735930735930733,0.39738066760664326
49,hcop_ii/13cs_ii,Q,U,0.2097902097902098,0.8935638328557971
50,hcop_ii/13cs_ii,A,C,0.25,0.8443968588886933
51,hcop_ii/13cs_ii,A,H,0.1403985507246377,0.5737491631570201
52,hcop_ii/13cs_ii,A,P,0.29464285714285715,0.12706509534975557
53,hcop_ii/13cs_ii,A,U,0.45032051282051283,0.020790091235438103
54,hcop_ii/13cs_ii,C,H,0.30434782608695654,0.5950638099856701
55,hcop_ii/13cs_ii,C,P,0.5238095238095238,0.11445559271646227
56,hcop_ii/13cs_ii,C,U,0.5384615384615384,0.11506707946336428
57,hcop_ii/13cs_ii,H,P,0.2194616977225673,0.36071000613376325
58,hcop_ii/13cs_ii,H,U,0.39687848383500557,0.04646676266458897
59,hcop_ii/13cs_ii,P,U,0.32234432234432236,0.29667772849817975
60,hcop_ii/13c34s_ii,A,H,1.0,0.2
61,hcop_ii/13c34s_ii,A,P,1.0,0.6666666666666666
62,hcop_ii/13c34s_ii,A,U,0.6666666666666666,0.6
63,hcop_ii/13c34s_ii,H,P,1.0,0.5
64,hcop_ii/13c34s_ii,H,U,0.6666666666666666,0.6
65,hcop_ii/13c34s_ii,P,U,0.6666666666666666,1.0
66,hcop_ii/hc13ccn_ii,Q,A,0.5,0.8571428571428572
67,hcop_ii/hc13ccn_ii,Q,C,0.6666666666666666,0.8571428571428571
68,hcop_ii/hc13ccn_ii,Q,U,0.8333333333333334,0.5714285714285714
69,hcop_ii/hc13ccn_ii,A,C,1.0,0.6666666666666666
70,hcop_ii/hc13ccn_ii,A,U,1.0,0.6666666666666666
